SimulationID,NodeID,NodeType,EnergyConsumed
4,151,Relay/Other,"45,56932"
4,152,Relay/Other,"24,44702"
4,153,Relay/Other,"42,24078"
4,154,Relay/Other,"57,92926"
4,155,Relay/Other,"19,79527"
4,156,Relay/Other,"38,79682"
4,157,Relay/Other,"71,73692"
4,158,Relay/Other,"24,58244"
4,159,Relay/Other,"39,50204"
4,160,Relay/Other,"82,00436"
4,161,Relay/Other,"85,45391"
4,162,Relay/Other,"53,81695"
4,163,Relay/Other,"58,75321"
4,164,Relay/Other,"25,78742"
4,165,Relay/Other,"22,11517"
4,166,Relay/Other,"23,82428"
4,167,Relay/Other,"46,13453"
4,168,Relay/Other,"62,87538"
4,169,Relay/Other,"69,49223"
4,170,Relay/Other,"16,20853"
4,171,Relay/Other,"27,12976"
4,172,Relay/Other,"16,04050"
